time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,25.8,,28.1,0.0,,,,,,
2018-01-02,27.3,24.5,29.5,75.7,,,,,,
2018-01-03,27.7,24.8,30.8,0.0,,,,,,
2018-01-04,27.8,24.7,,,,,,,,
2018-01-05,27.1,,,0.0,,,,,,
2018-01-06,28.0,25.0,30.7,17.5,,,,,,
2018-01-07,27.0,,30.2,0.0,,,,,,
2018-01-08,27.7,,30.8,7.9,,,,,,
2018-01-09,28.1,24.9,31.9,0.0,,,,,,
2018-01-10,27.3,,30.7,0.5,,,,,,
2018-01-11,27.5,24.8,30.7,0.5,,,,,,
2018-01-12,27.6,24.5,31.7,0.0,,,,,,
2018-01-13,26.8,,31.3,0.0,,,,,,
2018-01-14,26.1,,30.1,17.3,,,,,,
2018-01-15,24.8,,26.2,23.4,,,,,,
2018-01-16,24.1,,,4.1,,,,,,
2018-01-17,26.4,22.4,,41.7,,,,,,
2018-01-18,26.7,,,0.0,,,,,,
2018-01-19,27.3,24.2,30.6,17.5,,,,,,
2018-01-20,26.4,,30.7,0.0,,,,,,
2018-01-21,26.2,,28.1,2.3,,,,,,
2018-01-22,26.7,24.6,29.7,8.4,,,,,,
2018-01-23,27.7,24.8,31.1,0.0,,,,,,
2018-01-24,27.0,,29.6,,,,,,,
2018-01-25,27.5,24.1,30.5,,,,,,,
2018-01-26,27.9,,31.8,,,,,,,
2018-01-27,27.8,24.7,31.6,,,,,,,
2018-01-28,25.8,24.1,27.9,3.0,,,,,,
2018-01-29,27.4,24.1,30.9,2.8,,,,,,
2018-01-30,27.3,24.0,31.5,17.0,,,,,,
2018-01-31,27.4,24.1,30.6,0.5,,,,,,
2018-02-01,28.2,24.3,31.7,0.0,,,,,,
2018-02-02,27.7,,,,,,,,,
2018-02-03,26.1,23.7,29.5,26.7,,,,,,
2018-02-04,27.7,23.9,30.6,0.5,,,,,,
2018-02-05,27.9,25.1,30.5,0.0,,,,,,
2018-02-06,27.2,,31.2,0.0,,,,,,
2018-02-07,27.2,,30.9,,,,,,,
2018-02-08,26.5,,,,,,,,,
2018-02-09,26.7,22.3,31.1,,,,,,,
2018-02-10,26.7,22.7,30.7,,,,,,,
2018-02-11,28.3,22.8,32.0,,,,,,,
2018-02-12,27.2,,32.5,,,,,,,
2018-02-13,24.9,,26.7,,,,,,,
2018-02-14,26.9,24.5,28.5,,,,,,,
2018-02-15,27.7,,,,,,,,,
2018-02-16,27.3,,31.7,,,,,,,
2018-02-17,25.9,,29.6,,,,,,,
2018-02-18,27.4,23.1,30.7,,,,,,,
2018-02-19,27.5,24.2,31.1,,,,,,,
2018-02-20,27.9,24.5,31.2,12.7,,,,,,
2018-02-21,28.3,,31.6,0.0,,,,,,
2018-02-22,27.9,24.2,31.1,,,,,,,
2018-02-23,28.7,25.9,32.1,,,,,,,
2018-02-24,27.2,,30.2,2.0,,,,,,
2018-02-25,26.7,,30.1,6.4,,,,,,
2018-02-26,27.8,24.5,31.4,0.5,,,,,,
2018-02-27,27.6,24.5,31.2,0.3,,,,,,
2018-02-28,27.8,24.6,,20.1,,,,,,
2018-03-01,28.2,,31.5,0.0,,,,,,
2018-03-02,28.1,24.7,31.7,,,,,,,
2018-03-03,28.5,24.9,32.3,,,,,,,
2018-03-04,27.7,,31.7,,,,,,,
2018-03-05,28.3,24.5,32.1,,,,,,,
2018-03-06,28.7,24.8,32.5,,,,,,,
2018-03-07,28.7,,32.3,,,,,,,
2018-03-08,28.5,,33.1,,,,,,,
2018-03-09,27.8,,32.3,,,,,,,
2018-03-10,27.9,24.3,,,,,,,,
2018-03-11,26.0,,30.5,,,,,,,
2018-03-12,26.0,23.8,28.4,20.6,,,,,,
2018-03-13,26.0,,28.8,3.0,,,,,,
2018-03-14,27.9,24.0,30.6,3.3,,,,,,
2018-03-15,27.4,,31.1,0.0,,,,,,
2018-03-16,28.4,25.6,31.2,,,,,,,
2018-03-17,29.0,25.8,32.5,,,,,,,
2018-03-18,28.0,,31.1,,,,,,,
2018-03-19,27.8,,,,,,,,,
2018-03-20,28.3,24.3,32.1,,,,,,,
2018-03-21,27.7,,31.9,,,,,,,
2018-03-22,27.7,,,,,,,,,
2018-03-23,28.2,24.3,31.7,,,,,,,
2018-03-24,28.0,25.8,31.8,,,,,,,
2018-03-25,27.5,,31.2,,,,,,,
2018-03-26,27.3,,31.5,0.0,,,,,,
2018-03-27,27.3,,31.7,,,,,,,
2018-03-28,27.7,23.3,31.6,,,,,,,
2018-03-29,27.4,,31.7,,,,,,,
2018-03-30,27.5,23.7,31.1,,,,,,,
2018-03-31,28.1,24.9,32.1,,,,,,,
2018-04-01,27.2,,31.3,,,,,,,
2018-04-02,28.3,23.5,32.0,,,,,,,
2018-04-03,28.4,25.0,32.1,,,,,,,
2018-04-04,28.2,,32.4,6.1,,,,,,
2018-04-05,27.9,23.7,31.2,11.9,,,,,,
2018-04-06,27.9,,31.4,2.3,,,,,,
2018-04-07,27.4,25.1,31.7,0.0,,,,,,
2018-04-08,27.1,24.9,29.2,7.9,,,,,,
2018-04-09,28.5,25.3,32.2,2.3,,,,,,
2018-04-10,28.9,25.6,32.5,0.0,,,,,,
2018-04-11,28.9,26.1,,,,,,,,
2018-04-12,29.2,26.1,32.2,,,,,,,
2018-04-13,29.0,,32.3,,,,,,,
2018-04-14,29.1,,32.7,,,,,,,
2018-04-15,29.2,,32.1,,,,,,,
2018-04-16,28.9,25.2,31.9,,,,,,,
2018-04-17,29.2,25.8,32.6,,,,,,,
2018-04-18,29.2,25.9,32.7,9.1,,,,,,
2018-04-19,29.2,25.8,,5.6,,,,,,
2018-04-20,28.9,27.1,32.1,0.0,,,,,,
2018-04-21,28.8,,,,,,,,,
2018-04-22,29.2,25.7,,,,,,,,
2018-04-23,29.9,25.9,33.4,,,,,,,
2018-04-24,29.7,25.8,33.5,,,,,,,
2018-04-25,28.6,,33.4,,,,,,,
2018-04-26,29.1,25.5,32.2,,,,,,,
2018-04-27,29.2,,32.4,,,,,,,
2018-04-28,29.3,,33.1,,,,,,,
2018-04-29,29.7,25.9,33.2,,,,,,,
2018-04-30,29.7,26.9,33.5,,,,,,,
2018-05-01,30.2,26.5,33.3,,,,,,,
2018-05-02,29.6,,34.0,,,,,,,
2018-05-03,26.2,,29.3,8.4,,,,,,
2018-05-04,28.1,,31.7,8.1,,,,,,
2018-05-05,28.8,24.3,32.6,6.1,,,,,,
2018-05-06,29.5,26.0,33.1,0.0,,,,,,
2018-05-07,29.0,,33.7,,,,,,,
2018-05-08,29.0,24.9,33.7,,,,,,,
2018-05-09,29.4,25.4,33.1,,,,,,,
2018-05-10,29.5,25.7,33.9,,,,,,,
2018-05-11,29.8,24.7,33.3,,,,,,,
2018-05-12,29.8,26.2,34.0,,,,,,,
2018-05-13,29.2,,33.9,2.8,,,,,,
2018-05-14,30.2,25.7,34.6,0.0,,,,,,
2018-05-15,30.8,27.4,34.5,,,,,,,
2018-05-16,30.2,,34.4,,,,,,,
2018-05-17,29.8,,33.8,,,,,,,
2018-05-18,29.2,,34.2,10.9,,,,,,
2018-05-19,29.3,25.9,33.3,23.1,,,,,,
2018-05-20,29.2,26.1,33.0,12.2,,,,,,
2018-05-21,29.2,26.3,33.6,0.0,,,,,,
2018-05-22,29.7,25.9,33.9,0.0,,,,,,
2018-05-23,29.9,26.8,33.8,3.0,,,,,,
2018-05-24,30.5,26.6,33.4,0.0,,,,,,
2018-05-25,28.7,,33.7,,,,,,,
2018-05-26,30.3,25.8,34.1,,,,,,,
2018-05-27,30.7,27.1,33.6,,,,,,,
2018-05-28,30.5,27.5,34.0,,,,,,,
2018-05-29,30.2,,32.5,,,,,,,
2018-05-30,28.7,,32.7,,,,,,,
2018-05-31,29.1,,33.1,0.0,,,,,,
2018-06-01,28.9,25.2,32.7,16.5,,,,,,
2018-06-02,26.2,,,1.0,,,,,,
2018-06-03,28.9,22.8,32.4,33.0,,,,,,
2018-06-04,29.3,,32.6,0.0,,,,,,
2018-06-05,27.8,25.5,31.1,9.9,,,,,,
2018-06-06,28.6,26.2,32.1,2.8,,,,,,
2018-06-07,29.7,26.5,32.8,0.0,,,,,,
2018-06-08,29.5,,,,,,,,,
2018-06-09,29.9,26.9,33.6,,,,,,,
2018-06-10,29.7,27.7,31.8,,,,,,,
2018-06-11,28.8,,31.3,,,,,,,
2018-06-12,29.3,25.9,34.1,,,,,,,
2018-06-13,30.1,25.9,33.7,,,,,,,
2018-06-14,29.5,,33.6,,,,,,,
2018-06-15,29.6,25.4,34.3,,,,,,,
2018-06-16,29.8,26.3,34.4,,,,,,,
2018-06-17,28.7,,34.6,,,,,,,
2018-06-18,29.0,25.5,32.8,,,,,,,
2018-06-19,28.0,,33.1,,,,,,,
2018-06-20,27.9,24.4,,,,,,,,
2018-06-21,27.7,24.9,32.9,0.0,,,,,,
2018-06-22,27.6,25.1,33.1,13.5,,,,,,
2018-06-23,28.3,25.0,32.6,18.3,,,,,,
2018-06-24,29.0,25.0,33.8,0.0,,,,,,
2018-06-25,27.9,,32.8,5.1,,,,,,
2018-06-26,28.2,25.1,,2.5,,,,,,
2018-06-27,28.4,25.0,32.2,0.0,,,,,,
2018-06-28,28.7,25.8,32.9,0.0,,,,,,
2018-06-29,29.0,25.9,32.5,4.3,,,,,,
2018-06-30,28.0,,34.3,0.0,,,,,,
2018-07-01,28.2,23.2,32.1,15.0,,,,,,
2018-07-02,28.4,,32.7,0.0,,,,,,
2018-07-03,28.2,24.1,33.1,17.0,,,,,,
2018-07-04,28.3,25.4,,1.0,,,,,,
2018-07-05,27.5,,32.7,0.0,,,,,,
2018-07-06,28.7,24.4,32.1,21.1,,,,,,
2018-07-07,28.5,,32.9,0.0,,,,,,
2018-07-08,27.8,,32.9,,,,,,,
2018-07-09,29.2,24.3,33.2,,,,,,,
2018-07-10,28.3,25.8,33.1,,,,,,,
2018-07-11,29.2,25.8,33.1,,,,,,,
2018-07-12,28.4,25.8,,,,,,,,
2018-07-13,27.1,,31.3,,,,,,,
2018-07-14,28.5,23.6,32.5,,,,,,,
2018-07-15,27.4,,32.5,,,,,,,
2018-07-16,28.5,25.2,31.5,,,,,,,
2018-07-17,28.8,26.2,32.1,,,,,,,
2018-07-18,29.7,,33.7,,,,,,,
2018-07-19,28.2,,33.5,,,,,,,
2018-07-20,29.0,25.4,33.6,,,,,,,
2018-07-21,29.9,26.9,33.2,,,219.0,15.5,,1007.6,
2018-07-22,28.3,25.5,32.3,0.0,,219.0,16.1,,1008.5,
2018-07-23,28.3,26.9,29.9,,,223.0,15.0,,1008.6,
2018-07-24,28.8,26.1,33.1,,,228.0,12.2,,1007.9,
2018-07-25,28.6,25.7,32.1,0.0,,230.0,11.9,,1007.9,
2018-07-26,28.2,26.5,32.3,,,225.0,13.7,,1008.0,
2018-07-27,28.1,26.5,32.5,,,222.0,13.9,,1008.2,
2018-07-28,29.2,25.1,33.4,,,222.0,12.8,,1008.2,
2018-07-29,29.5,26.8,33.9,,,219.0,12.8,,1007.7,
2018-07-30,28.9,26.1,33.1,,,222.0,11.7,,1007.9,
2018-07-31,28.1,26.3,32.4,,,224.0,10.3,,1008.2,
2018-08-01,28.2,24.3,32.3,,,223.0,13.7,,1008.3,
2018-08-02,27.9,25.7,32.2,,,223.0,15.7,,1008.7,
2018-08-03,28.1,25.4,31.7,,,222.0,17.6,,1008.7,
2018-08-04,27.2,25.6,31.0,0.0,,222.0,15.8,,1007.8,
2018-08-05,28.1,25.2,32.0,1.0,,222.0,15.4,,1007.6,
2018-08-06,29.1,25.6,32.4,0.0,,223.0,15.7,,1007.4,
2018-08-07,28.7,26.9,32.3,,,221.0,15.5,,1007.1,
2018-08-08,28.1,26.7,32.7,,,223.0,14.1,,1007.4,
2018-08-09,29.3,24.7,33.7,,,226.0,14.0,,1008.7,
2018-08-10,27.7,26.5,32.8,,,224.0,14.6,,1009.2,
2018-08-11,29.3,24.0,31.3,,,222.0,16.3,,1007.5,
2018-08-12,29.5,26.2,32.8,,,219.0,17.9,,1006.7,
2018-08-13,29.7,26.6,32.8,,,218.0,17.1,,1008.0,
2018-08-14,29.4,27.0,33.5,,,219.0,15.6,,1008.5,
2018-08-15,30.0,26.2,33.7,,,222.0,12.2,,1008.5,
2018-08-16,29.6,27.0,33.5,,,227.0,13.8,,1006.8,
2018-08-17,28.7,27.2,33.4,,,222.0,14.6,,1005.7,
2018-08-18,28.0,25.9,32.9,0.0,,222.0,13.1,,1007.0,
2018-08-19,29.2,26.0,34.3,0.3,,224.0,12.0,,1008.5,
2018-08-20,29.8,25.3,34.1,0.0,,223.0,12.1,,1008.5,
2018-08-21,29.9,26.7,34.3,,,223.0,13.9,,1007.5,
2018-08-22,29.4,27.3,34.7,,,224.0,14.1,,1007.7,
2018-08-23,30.0,26.5,35.3,,,223.0,11.8,,1008.9,
2018-08-24,29.7,26.8,34.7,,,222.0,10.7,,1009.6,
2018-08-25,29.2,26.4,34.1,,,222.0,10.7,,1008.7,
2018-08-26,28.5,26.0,32.7,0.0,,222.0,8.4,,1008.9,
2018-08-27,28.8,25.9,33.1,,,202.0,6.5,,1010.2,
2018-08-28,28.6,25.9,33.5,,,10.0,6.4,,1010.7,
2018-08-29,28.7,26.1,32.8,,,4.0,7.3,,1010.1,
2018-08-30,27.4,25.7,33.3,,,356.0,7.1,,1009.9,
2018-08-31,25.5,25.0,27.6,,,281.0,6.5,,1009.8,
2018-09-01,27.2,24.1,29.5,,,240.0,7.6,,1008.8,
2018-09-02,28.8,25.0,31.6,,,224.0,11.7,,1008.1,
2018-09-03,28.3,26.2,32.2,,,223.0,14.9,,1008.4,
2018-09-04,27.7,26.1,32.7,,,224.0,14.8,,1009.1,
2018-09-05,27.5,24.8,30.6,0.0,,224.0,15.8,,1008.2,
2018-09-06,27.5,26.1,30.9,0.8,,222.0,15.7,,1007.3,
2018-09-07,29.0,25.4,33.6,2.3,,223.0,13.2,,1008.1,
2018-09-08,28.7,26.1,33.8,0.0,,228.0,8.8,,1009.3,
2018-09-09,27.4,25.2,32.7,14.2,,271.0,6.2,,1010.0,
2018-09-10,28.8,22.8,33.4,31.5,,246.0,6.5,,1010.5,
2018-09-11,27.8,25.5,32.1,0.0,,231.0,8.6,,1009.6,
2018-09-12,28.3,26.1,32.5,48.3,,231.0,10.9,,1008.1,
2018-09-13,28.5,26.0,32.5,5.3,,228.0,15.4,,1006.0,
2018-09-14,27.3,25.1,29.7,8.6,,217.0,23.2,,1003.9,
2018-09-15,28.4,25.3,31.5,4.1,,210.0,19.7,,1006.3,
2018-09-16,28.4,26.0,32.6,0.0,,183.0,7.9,,1008.9,
2018-09-17,27.0,26.0,30.4,0.0,,13.0,8.1,,1009.5,
2018-09-18,28.0,25.4,32.1,,,11.0,8.2,,1008.8,
2018-09-19,27.8,25.6,31.1,,,336.0,6.0,,1008.0,
2018-09-20,26.8,24.6,28.9,7.6,,222.0,5.8,,1008.2,
2018-09-21,27.0,25.2,30.2,1.5,,303.0,6.0,,1009.8,
2018-09-22,26.7,23.7,31.1,6.6,,329.0,6.7,,1010.9,
2018-09-23,27.5,24.3,31.4,37.6,,294.0,6.2,,1010.3,
2018-09-24,28.7,24.5,32.1,0.0,,234.0,8.9,,1007.9,
2018-09-25,29.0,25.9,33.3,1.0,,223.0,14.1,,1006.6,
2018-09-26,28.6,26.4,32.7,0.0,,220.0,15.7,,1006.6,
2018-09-27,28.2,25.0,32.5,,,220.0,14.1,,1007.1,
2018-09-28,28.3,26.0,32.1,,,220.0,13.1,,1007.6,
2018-09-29,29.1,25.7,32.5,0.0,,221.0,10.0,,1007.9,
2018-09-30,29.4,26.3,33.6,,,231.0,7.1,,1008.1,
2018-10-01,26.9,26.1,32.6,,,234.0,6.7,,1008.6,
2018-10-02,28.0,24.3,32.5,,,245.0,6.9,,1008.5,
2018-10-03,27.2,25.4,31.4,,,268.0,6.6,,1009.3,
2018-10-04,27.8,24.5,32.5,,,233.0,6.4,,1010.5,
2018-10-05,28.2,25.4,33.3,,,327.0,6.4,,1010.6,
2018-10-06,28.5,23.8,30.2,11.4,,18.0,7.1,,1011.1,
2018-10-07,28.9,25.7,33.4,0.0,,19.0,8.3,,1010.7,
2018-10-08,28.8,25.5,32.2,10.4,,21.0,8.3,,1009.9,
2018-10-09,28.8,25.9,32.7,1.0,,20.0,8.5,,1009.4,
2018-10-10,28.9,24.9,32.1,2.5,,21.0,9.1,,1009.6,
2018-10-11,29.7,26.3,32.3,0.0,,24.0,9.9,,1010.3,
2018-10-12,29.5,26.9,32.7,,,24.0,10.5,,1010.6,
2018-10-13,28.7,27.0,31.4,,,20.0,10.0,,1010.3,
2018-10-14,28.8,25.9,33.1,,,20.0,7.7,,1010.4,
2018-10-15,28.2,23.8,31.1,6.9,,5.0,6.7,,1010.9,
2018-10-16,27.7,25.7,30.1,0.0,,6.0,6.6,,1010.8,
2018-10-17,28.2,25.1,31.3,3.3,,357.0,6.2,,1009.9,
2018-10-18,28.5,25.7,32.1,0.0,,11.0,7.2,,1009.7,
2018-10-19,28.0,25.6,32.1,,,13.0,8.5,,1010.8,
2018-10-20,27.7,24.3,32.1,42.9,,3.0,9.7,,1011.1,
2018-10-21,28.3,25.1,31.6,,,13.0,10.0,,1010.4,
2018-10-22,28.3,24.7,31.7,0.0,,20.0,9.3,,1010.2,
2018-10-23,28.0,25.6,32.0,0.0,,8.0,10.2,,1010.9,
2018-10-24,28.3,24.2,32.1,,,12.0,12.5,,1011.2,
2018-10-25,28.5,24.6,32.1,,,9.0,12.3,,1011.1,
2018-10-26,28.7,25.9,32.1,,,10.0,11.5,,1010.9,
2018-10-27,28.5,25.9,32.4,,,5.0,11.9,,1010.0,
2018-10-28,27.4,24.9,32.1,0.0,,351.0,9.2,,1008.2,
2018-10-29,27.7,24.4,32.0,8.6,,251.0,9.3,,1006.2,
2018-10-30,28.2,25.9,32.1,5.6,,221.0,11.8,,1006.9,
2018-10-31,28.6,25.0,32.5,0.0,,90.0,6.1,,1009.3,
2018-11-01,29.4,25.6,32.4,,,21.0,8.9,,1010.3,
2018-11-02,29.2,26.7,32.1,,,24.0,11.2,,1011.0,
2018-11-03,28.1,27.0,31.6,0.8,,22.0,11.9,,1011.0,
2018-11-04,28.2,24.7,31.3,3.3,,17.0,12.1,,1010.0,
2018-11-05,27.3,26.4,29.1,16.0,,24.0,11.9,,1009.3,
2018-11-06,27.8,26.5,29.8,1.8,,29.0,13.3,,1009.9,
2018-11-07,28.5,26.3,31.1,0.0,,26.0,14.6,,1010.2,
2018-11-08,28.5,24.8,31.7,1.0,,23.0,14.5,,1009.6,
2018-11-09,28.3,25.2,32.3,0.0,,23.0,14.1,,1009.6,
2018-11-10,27.3,26.5,29.4,3.8,,21.0,13.7,,1009.6,
2018-11-11,28.1,25.1,31.6,,,19.0,14.3,,1009.5,
2018-11-12,27.5,25.5,31.1,,,20.0,12.9,,1008.8,
2018-11-13,27.8,25.8,31.3,,,22.0,11.9,,1008.1,
2018-11-14,28.0,25.3,32.3,,,24.0,11.0,,1008.6,
2018-11-15,27.2,25.4,30.8,0.0,,23.0,11.0,,1010.8,
2018-11-16,28.1,24.4,30.3,8.9,,20.0,11.4,,1011.6,
2018-11-17,27.4,25.9,31.1,1.5,,20.0,12.7,,1011.6,
2018-11-18,27.7,24.2,30.6,3.0,,16.0,12.9,,1011.4,
2018-11-19,26.4,25.5,30.2,1.5,,12.0,13.8,,1011.3,
2018-11-20,25.5,22.8,27.4,5.6,,4.0,11.1,,1009.1,
2018-11-21,26.9,24.0,29.7,18.0,,78.0,7.5,,1007.6,
2018-11-22,27.5,25.5,30.2,3.0,,33.0,6.6,,1010.0,
2018-11-23,27.5,24.6,30.2,2.5,,11.0,8.7,,1011.4,
2018-11-24,27.9,24.6,31.1,0.0,,14.0,11.3,,1012.1,
2018-11-25,27.3,25.5,30.9,,,16.0,13.6,,1012.1,
2018-11-26,28.0,25.2,31.2,,,17.0,13.6,,1012.4,
2018-11-27,28.0,24.2,32.2,,,17.0,15.0,,1012.6,
2018-11-28,28.4,25.0,31.3,,,21.0,13.5,,1012.8,
2018-11-29,28.2,25.4,30.8,0.0,,20.0,13.8,,1013.3,
2018-11-30,27.0,26.0,30.1,0.0,,17.0,15.7,,1012.6,
2018-12-01,27.5,24.9,31.2,1.5,,19.0,15.1,,1011.2,
2018-12-02,27.5,25.8,29.9,1.5,,23.0,13.7,,1010.6,
2018-12-03,27.7,24.8,30.2,1.3,,20.0,13.6,,1010.8,
2018-12-04,28.4,25.8,31.3,4.1,,24.0,11.4,,1010.7,
2018-12-05,28.5,25.5,31.2,8.1,,21.0,13.1,,1010.0,
2018-12-06,28.1,25.5,31.1,5.1,,26.0,13.8,,1009.3,
2018-12-07,27.2,26.3,31.1,1.0,,21.0,15.8,,1009.4,
2018-12-08,28.1,25.8,30.4,11.2,,22.0,15.0,,1010.5,
2018-12-09,27.9,26.3,31.1,2.0,,23.0,13.8,,1010.6,
2018-12-10,28.1,24.1,30.3,4.3,,22.0,13.9,,1010.6,
2018-12-11,27.7,25.8,31.9,0.0,,21.0,14.3,,1010.7,
2018-12-12,27.5,25.1,31.3,,,15.0,15.8,,1011.2,
2018-12-13,27.0,25.5,30.9,,,18.0,16.6,,1011.7,
2018-12-14,28.0,25.5,31.8,0.8,,19.0,16.0,,1011.8,
2018-12-15,27.3,26.2,30.7,16.5,,19.0,16.5,,1011.4,
2018-12-16,27.2,25.7,31.3,0.3,,17.0,14.1,,1011.5,
2018-12-17,27.8,23.1,31.5,0.0,,13.0,13.4,,1011.8,
2018-12-18,27.4,25.1,29.9,0.8,,15.0,17.1,,1012.3,
2018-12-19,27.4,25.5,31.4,2.0,,14.0,18.7,,1012.2,
2018-12-20,24.9,24.9,26.1,6.1,,6.0,13.6,,1010.5,
2018-12-21,26.9,24.8,29.3,84.6,,14.0,11.1,,1009.4,
2018-12-22,26.7,24.1,29.3,9.7,,6.0,10.3,,1009.0,
2018-12-23,26.6,25.1,28.6,5.1,,16.0,8.7,,1008.1,
2018-12-24,27.0,23.9,30.3,0.0,,23.0,9.1,,1007.8,
2018-12-25,27.7,24.1,30.8,,,13.0,9.0,,1008.3,
2018-12-26,27.5,25.0,30.8,,,1.0,9.7,,1008.0,
2018-12-27,27.5,25.0,30.5,,,343.0,10.7,,1006.6,
2018-12-28,25.7,25.1,27.0,,,301.0,9.0,,1005.2,
2018-12-29,27.1,24.5,31.0,,,178.0,8.6,,1006.3,
2018-12-30,27.2,25.4,30.2,6.1,,24.0,10.1,,1010.5,
2018-12-31,27.9,24.3,30.5,3.3,,23.0,13.1,,1012.3,
2019-01-01,28.0,25.8,29.6,,,26.0,15.3,,1013.1,
2019-01-02,27.7,25.8,29.1,,,28.0,16.5,,1013.7,
2019-01-03,27.0,24.6,30.7,0.0,,24.0,16.3,,1014.7,
2019-01-04,25.1,25.1,27.1,21.1,,21.0,17.7,,1015.5,
2019-01-05,26.9,24.7,30.1,4.3,,20.0,16.2,,1015.3,
2019-01-06,26.6,25.0,29.9,0.0,,19.0,17.3,,1014.4,
2019-01-07,26.3,23.2,29.6,0.0,,20.0,16.8,,1014.1,
2019-01-08,27.2,23.3,30.3,2.5,,24.0,15.3,,1013.9,
2019-01-09,26.8,23.7,30.2,0.5,,23.0,16.4,,1013.6,
2019-01-10,24.5,24.3,28.7,1.0,,18.0,17.7,,1012.9,
2019-01-11,26.6,22.5,30.1,55.6,,21.0,15.1,,1012.6,
2019-01-12,27.3,23.4,30.7,0.0,,20.0,13.7,,1012.0,
