time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,23.0,20.9,26.0,2.8,,45.0,6.1,,1016.3,
2018-01-02,23.2,20.7,26.0,1.3,,17.0,6.4,,977.1,
2018-01-03,22.7,21.7,24.0,5.1,,328.0,4.6,,1014.0,
2018-01-04,23.1,22.0,26.0,1.8,,,3.7,,1013.1,
2018-01-05,23.6,21.9,26.0,1.5,,,4.5,,1012.0,
2018-01-06,24.9,22.7,28.0,0.0,,,3.2,,1010.9,
2018-01-07,25.5,22.9,29.0,0.0,,,4.4,,1011.4,
2018-01-08,26.4,24.0,32.0,,,,4.8,,1011.5,
2018-01-09,20.2,19.0,23.5,,,340.0,14.3,,1018.4,
2018-01-10,19.9,18.7,22.1,,,316.0,8.4,,1021.2,
2018-01-11,18.5,13.5,20.0,0.0,,312.0,7.6,,1021.8,
2018-01-12,17.2,16.6,18.0,1.3,,310.0,7.1,,1021.7,
2018-01-13,18.7,16.4,22.0,1.0,,328.0,6.0,,1019.9,
2018-01-14,20.1,18.0,22.1,0.0,,,4.3,,1018.3,
2018-01-15,21.1,19.2,24.9,0.0,,,,,,
2018-01-16,22.2,20.0,24.7,,,,3.0,,975.6,
2018-01-17,21.6,19.0,26.0,,,,3.3,,1014.1,
2018-01-18,21.9,16.9,26.1,0.0,,,3.9,,1014.4,
2018-01-19,21.2,19.0,23.0,,,,2.7,,1015.4,
2018-01-20,22.1,20.9,25.0,1.0,,,4.1,,1013.9,
2018-01-21,23.7,21.0,26.2,0.0,,,4.3,,974.8,
2018-01-22,23.3,22.0,26.0,0.0,,,4.4,,1012.5,
2018-01-23,23.9,22.0,26.0,0.0,,,3.9,,1012.0,
2018-01-24,23.6,23.0,25.4,3.0,,,5.6,,1011.1,
2018-01-25,24.0,23.0,26.0,1.0,,,5.5,,1011.1,
2018-01-26,24.3,22.9,26.0,0.0,,,5.1,,1012.4,
2018-01-27,23.8,22.8,25.0,0.5,,95.0,6.9,,1012.1,
2018-01-28,24.8,23.0,28.0,0.0,,122.0,5.5,,1011.3,
2018-01-29,20.9,19.0,24.7,3.3,,27.0,10.7,,1014.9,
2018-01-30,20.3,19.0,23.0,0.0,,345.0,8.9,,1016.1,
2018-01-31,19.3,18.0,23.5,0.0,,333.0,11.9,,1017.7,
2018-02-01,18.3,16.7,21.3,0.0,,339.0,12.3,,1019.7,
2018-02-02,19.1,17.0,21.6,0.0,,315.0,7.1,,1020.4,
2018-02-03,17.8,17.0,21.2,0.0,,340.0,10.2,,1022.4,
2018-02-04,19.1,16.8,22.2,0.0,,336.0,9.9,,1021.5,
2018-02-05,17.1,16.0,19.6,0.0,,338.0,12.8,,1023.0,
2018-02-06,16.5,15.0,18.4,0.0,,320.0,9.3,,1021.4,
2018-02-07,18.4,15.9,22.3,0.0,,,7.0,,1018.6,
2018-02-08,18.8,17.0,22.0,0.0,,330.0,9.8,,1017.2,
2018-02-09,21.1,17.0,26.0,0.0,,,5.2,,1013.9,
2018-02-10,22.4,17.7,26.0,,,101.0,5.4,,1015.1,
2018-02-11,21.5,20.0,25.5,4.8,,359.0,7.7,,1019.0,
2018-02-12,20.1,19.0,22.1,3.3,,9.0,9.9,,1022.4,
2018-02-13,18.8,17.0,23.0,3.6,,334.0,5.1,,1021.7,
2018-02-14,20.3,15.2,25.0,0.0,,175.0,5.2,,1017.5,
2018-02-15,22.1,17.0,26.0,,,,5.1,,1014.4,
2018-02-16,22.4,18.3,28.0,,,,4.7,,1013.9,
2018-02-17,24.3,19.5,29.0,,,,4.9,,1014.2,
2018-02-18,24.7,22.0,27.0,,,138.0,6.5,,1014.2,
2018-02-19,24.7,23.0,28.0,,,114.0,8.1,,1014.0,
2018-02-20,24.9,22.7,28.0,,,130.0,8.8,,1012.6,
2018-02-21,25.1,23.5,28.0,,,116.0,8.5,,1011.3,
2018-02-22,24.7,23.9,27.0,,,94.0,9.4,,1013.2,
2018-02-23,21.8,21.0,24.7,0.0,,352.0,8.1,,1015.7,
2018-02-24,22.5,20.0,25.7,0.0,,341.0,9.8,,1016.6,
2018-02-25,23.1,21.0,26.6,,,342.0,8.6,,1016.2,
2018-02-26,23.3,21.9,26.0,,,338.0,5.9,,1015.9,
2018-02-27,24.3,22.0,28.0,0.0,,,5.4,,1014.2,
2018-02-28,24.7,21.8,27.0,0.0,,147.0,5.9,,1012.4,
2018-03-01,25.4,23.0,29.0,0.0,,122.0,7.2,,1010.8,
2018-03-02,26.1,23.5,30.0,0.0,,140.0,7.0,,1009.2,
2018-03-03,25.9,24.0,31.0,0.0,,141.0,7.7,,1008.4,
2018-03-04,26.2,23.1,30.0,0.0,,118.0,6.9,,1008.9,
2018-03-05,26.2,24.0,31.0,0.0,,,6.9,,1009.8,
2018-03-06,25.8,23.3,30.0,0.0,,,6.0,,1012.2,
2018-03-07,26.4,23.9,30.0,0.0,,146.0,8.0,,1012.8,
2018-03-08,23.3,21.0,27.0,,,,9.0,,1015.1,
2018-03-09,20.8,19.0,24.0,,,313.0,10.6,,981.0,
2018-03-10,19.9,18.9,21.0,0.3,,,5.0,,1018.9,
2018-03-11,23.1,19.6,27.0,0.0,,11.0,5.6,,1017.9,
2018-03-12,23.6,21.0,26.0,2.5,,77.0,4.8,,1016.6,
2018-03-13,23.5,21.0,27.0,0.0,,142.0,5.4,,1014.5,
2018-03-14,23.8,20.7,28.0,1.5,,,6.0,,1012.6,
2018-03-15,22.4,21.0,25.0,22.4,,216.0,5.3,,1012.7,
2018-03-16,25.6,19.5,29.0,0.0,,147.0,6.3,,1012.6,
2018-03-17,26.0,24.6,29.0,,,132.0,8.8,,1012.8,
2018-03-18,25.8,24.0,29.0,,,126.0,10.5,,1012.9,
2018-03-19,26.3,24.0,30.0,,,141.0,6.1,,1009.9,
2018-03-20,23.3,22.0,28.0,3.8,,331.0,10.6,,1011.5,
2018-03-21,22.9,21.0,27.0,0.0,,341.0,9.9,,1014.7,
2018-03-22,21.9,21.0,25.0,,,359.0,11.0,,1014.7,
2018-03-23,23.8,20.0,27.0,,,,5.3,,1015.8,
2018-03-24,25.1,21.2,29.0,0.0,,,6.2,,1015.9,
2018-03-25,25.1,22.0,28.0,0.0,,,6.6,,1016.6,
2018-03-26,24.4,21.0,28.0,0.0,,,4.0,,,
2018-03-27,24.7,21.0,29.0,0.0,,,5.5,,1015.3,
2018-03-28,24.7,21.4,28.0,0.0,,171.0,7.2,,1013.2,
2018-03-29,25.7,22.9,29.0,0.0,,,6.7,,1012.0,
2018-03-30,24.1,23.0,26.2,0.0,,,4.8,,1013.4,
2018-03-31,24.7,21.0,29.0,0.0,,,6.3,,1013.9,
2018-04-01,24.7,20.0,29.0,0.0,,,5.4,,1013.8,
2018-04-02,24.6,20.0,30.0,0.0,,148.0,6.2,,1013.4,
2018-04-03,24.8,20.0,30.0,0.0,,170.0,7.1,,1012.5,
2018-04-04,25.2,20.4,29.0,,,165.0,6.3,,1011.2,
2018-04-05,26.4,23.6,30.0,,,137.0,6.7,,1010.0,
2018-04-06,26.0,24.0,30.0,,,,9.0,,1011.9,
2018-04-07,20.2,18.8,24.3,43.9,,354.0,12.5,,,
2018-04-08,20.8,18.0,24.0,55.9,,337.0,8.6,,1019.1,
2018-04-09,23.6,19.7,27.0,0.0,,,3.6,,1016.0,
2018-04-10,26.3,21.4,30.0,,,154.0,6.9,,1012.7,
2018-04-11,26.9,25.0,32.0,,,,6.5,,1010.4,
2018-04-12,27.3,24.0,32.0,,,134.0,7.3,,1008.6,
2018-04-13,27.7,24.4,32.0,0.0,,130.0,7.8,,1009.0,
2018-04-14,27.8,25.0,33.0,0.0,,114.0,7.0,,1008.4,
2018-04-15,26.8,25.0,31.0,0.0,,53.0,8.7,,1011.3,
2018-04-16,25.8,24.0,29.0,,,0.0,14.9,,1013.5,
2018-04-17,25.0,24.0,29.3,0.0,,353.0,12.7,,1014.8,
2018-04-18,24.4,22.0,27.9,0.0,,350.0,9.3,,1013.7,
2018-04-19,26.8,23.2,31.0,0.0,,44.0,5.0,,1011.8,
2018-04-20,27.3,24.6,31.0,0.0,,157.0,6.6,,972.8,
2018-04-21,27.4,25.0,31.0,0.0,,144.0,8.2,,1010.1,
2018-04-22,27.1,24.0,31.0,0.0,,155.0,8.1,,1008.8,
2018-04-23,28.4,24.1,32.0,0.0,,132.0,8.1,,1006.9,
2018-04-24,28.3,26.0,33.0,0.0,,159.0,7.9,,1007.3,
2018-04-25,27.7,24.0,31.9,0.0,,344.0,7.4,,1009.2,
2018-04-26,26.7,24.0,32.0,5.1,,179.0,5.7,,1010.8,
2018-04-27,27.1,24.4,30.0,0.5,,320.0,6.4,,1013.1,
2018-04-28,28.6,25.0,32.0,0.0,,,4.9,,1012.6,
2018-04-29,28.1,25.0,32.0,,,146.0,5.8,,1011.1,
2018-04-30,28.0,24.5,32.0,,,,6.2,,1011.1,
2018-05-01,28.6,25.0,33.0,,,,6.5,,1011.2,
2018-05-02,29.2,25.6,33.0,,,160.0,7.5,,1011.4,
2018-05-03,28.7,26.0,32.0,,,,6.5,,1012.6,
2018-05-04,28.8,24.9,32.0,,,141.0,8.3,,1012.7,
2018-05-05,29.2,25.4,33.0,0.0,,149.0,8.4,,,
2018-05-06,27.9,25.0,35.0,0.5,,176.0,6.8,,,
2018-05-07,29.2,25.4,34.0,4.6,,163.0,6.0,,1007.5,
2018-05-08,30.7,26.0,38.0,0.0,,,5.3,,,
2018-05-09,28.7,25.0,35.0,0.0,,187.0,7.3,,1008.7,
2018-05-10,27.6,25.0,34.0,0.0,,183.0,5.4,,1010.7,
2018-05-11,28.6,24.3,32.0,0.0,,141.0,8.0,,1010.6,
2018-05-12,28.4,,,0.0,,,,,,
2018-05-13,28.7,26.0,32.0,0.0,,146.0,7.7,,1010.3,
2018-05-14,28.7,25.0,34.0,,,,6.1,,1009.8,
2018-05-15,28.6,24.0,33.0,,,164.0,7.6,,1008.1,
2018-05-16,28.8,24.0,35.0,,,161.0,7.6,,1007.4,
2018-05-17,29.1,25.0,35.0,,,148.0,7.5,,1007.1,
2018-05-18,28.9,25.0,34.0,,,,5.9,,1006.8,
2018-05-19,29.1,25.1,34.0,,,146.0,7.8,,,
2018-05-20,29.0,26.0,33.0,,,144.0,6.9,,1007.5,
2018-05-21,29.3,25.0,33.0,,,,7.5,,1008.4,
2018-05-22,29.9,25.6,34.0,,,147.0,7.1,,1009.5,
2018-05-23,29.8,26.0,34.0,,,128.0,6.3,,1009.4,
2018-05-24,29.7,26.0,34.0,,,160.0,6.9,,1008.6,
2018-05-25,30.1,26.0,35.0,,,144.0,8.4,,1007.8,
2018-05-26,30.5,26.9,36.0,,,,4.8,,1007.8,
2018-05-27,30.1,27.5,33.1,,,26.0,4.6,,,
2018-05-28,30.6,28.0,36.0,,,,5.1,,,
2018-05-29,30.1,26.0,35.0,,,,7.7,,971.8,
2018-05-30,30.5,26.7,34.0,,,141.0,7.7,,1009.4,
2018-05-31,30.5,27.0,35.0,,,139.0,6.7,,1009.3,
2018-06-01,31.1,26.0,36.0,,,158.0,6.3,,1008.8,
2018-06-02,29.6,26.0,34.0,,,,5.7,,1008.0,
2018-06-03,26.2,25.0,30.0,57.4,,,5.4,,1005.3,
2018-06-04,27.1,25.0,30.0,13.5,,,3.4,,1003.6,
2018-06-05,28.3,26.0,32.0,3.0,,,7.8,,1005.5,
2018-06-06,29.4,26.0,33.0,0.0,,132.0,3.3,,1005.7,
2018-06-07,30.0,26.2,34.0,6.9,,,5.1,,966.4,
2018-06-08,30.4,27.0,36.0,11.4,,256.0,4.2,,1002.6,
2018-06-09,32.0,27.9,36.0,0.0,,,4.0,,1002.4,
2018-06-10,31.9,28.4,37.0,,,,4.6,,1003.8,
2018-06-11,31.9,29.0,35.0,0.0,,219.0,6.7,,966.9,
2018-06-12,31.6,28.6,36.0,0.0,,225.0,6.9,,1004.7,
2018-06-13,32.1,30.0,36.0,0.0,,254.0,5.4,,1002.9,
2018-06-14,31.4,29.0,36.0,,,243.0,5.3,,1002.1,
2018-06-15,31.2,29.0,35.0,0.0,,,4.8,,1002.4,
2018-06-16,29.8,28.0,34.0,2.3,,,4.5,,1002.8,
2018-06-17,28.4,25.0,34.3,8.9,,,5.6,,1003.0,
2018-06-18,31.7,25.3,37.0,0.5,,,7.0,,1002.5,
2018-06-19,32.4,29.0,36.0,0.0,,211.0,9.5,,1004.2,
2018-06-20,31.6,29.0,37.5,,,237.0,9.3,,1006.1,
2018-06-21,32.3,28.0,36.7,,,215.0,7.5,,1006.1,
2018-06-22,30.9,27.0,36.0,,,228.0,6.0,,1005.8,
2018-06-23,31.9,27.0,37.0,,,193.0,6.7,,1004.9,
2018-06-24,28.9,25.0,37.0,3.6,,,7.6,,1005.6,
2018-06-25,27.7,24.0,35.0,36.3,,196.0,6.2,,1006.7,
2018-06-26,26.7,24.0,32.2,7.4,,,6.3,,1008.5,
2018-06-27,29.8,24.1,33.0,0.0,,,5.9,,1009.4,
2018-06-28,28.4,24.0,34.0,,,164.0,6.0,,1008.2,
2018-06-29,29.0,24.6,37.0,,,177.0,5.7,,1005.5,
2018-06-30,32.6,25.4,37.0,,,,4.8,,1004.5,
2018-07-01,32.2,27.4,,,,,,,,
2018-07-02,32.9,27.4,38.0,,,,6.3,,1003.7,
2018-07-03,31.9,29.0,37.0,,,,8.1,,965.3,
2018-07-04,33.0,28.8,38.0,0.0,,,7.0,,1002.1,
2018-07-05,32.9,28.0,37.2,0.0,,,9.4,,1001.9,
2018-07-06,31.6,28.0,37.2,2.0,,,5.9,,1001.9,
2018-07-07,31.3,27.1,37.0,0.0,,,6.1,,1001.9,
2018-07-08,29.6,26.0,36.0,10.9,,268.0,7.9,,1002.1,
2018-07-09,28.2,26.0,32.7,4.1,,,6.3,,1003.5,
2018-07-10,27.8,25.0,33.0,15.0,,,5.8,,1003.3,
2018-07-11,27.7,25.4,32.0,4.3,,,4.0,,1001.9,
2018-07-12,28.8,25.5,34.0,0.0,,,4.3,,1001.6,
2018-07-13,28.7,26.0,35.0,17.8,,,4.4,,964.0,
2018-07-14,28.1,25.9,33.0,16.5,,,3.0,,1001.3,
2018-07-15,28.6,26.0,32.0,19.1,,,3.0,,1001.2,
2018-07-16,28.3,26.0,33.0,7.9,,,3.1,,999.8,
2018-07-17,28.2,26.0,32.0,15.2,,,4.1,,999.2,
2018-07-18,27.5,25.6,31.1,60.2,,,2.8,,1000.0,
2018-07-19,29.6,25.9,35.0,0.0,,,3.9,,1001.7,
2018-07-20,30.6,27.0,35.0,0.0,,,4.3,,1003.6,
2018-07-21,30.9,27.0,35.0,0.3,,226.0,7.6,,1002.8,
2018-07-22,28.2,26.0,32.0,9.9,,268.0,4.0,,1000.9,
2018-07-23,30.4,26.9,33.0,0.0,,210.0,7.1,,1000.4,
2018-07-24,31.8,27.6,37.0,0.0,,224.0,6.2,,1002.0,
2018-07-25,30.5,28.7,34.0,0.0,,240.0,4.9,,1003.9,
2018-07-26,29.2,27.0,32.0,0.0,,226.0,3.4,,1005.2,
2018-07-27,28.2,26.0,31.0,0.0,,193.0,2.8,,1005.1,
2018-07-28,27.8,25.5,31.0,1.0,,222.0,4.3,,967.5,
2018-07-29,29.7,25.5,34.0,0.0,,234.0,3.7,,1004.8,
2018-07-30,31.2,27.0,35.0,0.0,,212.0,7.9,,1004.7,
2018-07-31,29.8,28.0,34.0,,,242.0,5.2,,1005.7,
2018-08-01,31.1,25.7,36.0,,,198.0,4.9,,1005.3,
2018-08-02,30.3,28.0,35.0,0.0,,277.0,6.0,,1004.4,
2018-08-03,30.9,26.5,35.0,0.0,,212.0,6.3,,1003.5,
2018-08-04,30.6,27.0,36.0,0.0,,202.0,4.4,,1003.9,
2018-08-05,28.4,25.0,35.0,0.0,,227.0,8.3,,1005.3,
2018-08-06,29.9,25.2,35.0,,,275.0,6.5,,1004.6,
2018-08-07,29.9,25.9,33.0,,,344.0,7.5,,1003.6,
2018-08-08,29.2,26.0,32.0,,,300.0,4.6,,1002.9,
2018-08-09,27.5,26.0,30.0,11.2,,310.0,3.5,,1002.9,
2018-08-10,29.5,25.5,32.2,0.0,,311.0,4.0,,1002.9,
2018-08-11,31.3,26.8,35.0,,,244.0,4.1,,1001.2,
2018-08-12,31.9,28.0,37.0,,,229.0,8.0,,1000.0,
2018-08-13,30.1,28.0,33.0,,,252.0,4.6,,1001.1,
2018-08-14,28.0,27.0,30.0,1.3,,210.0,6.1,,1001.3,
2018-08-15,30.9,26.7,35.0,0.0,,227.0,5.6,,1000.7,
2018-08-16,31.2,28.0,35.0,,,237.0,5.1,,999.1,
2018-08-17,31.6,27.6,37.0,,,255.0,7.0,,998.7,
2018-08-18,30.3,26.0,36.0,,,236.0,5.8,,1001.7,
2018-08-19,29.3,26.0,35.0,,,265.0,4.0,,1003.9,
2018-08-20,30.8,26.5,36.0,,,234.0,4.3,,1004.1,
2018-08-21,30.4,27.0,36.0,4.8,,235.0,3.3,,1001.9,
2018-08-22,30.4,26.7,36.0,0.5,,274.0,3.9,,1001.6,
2018-08-23,30.5,27.7,34.0,0.5,,312.0,3.0,,1003.8,
2018-08-24,30.1,27.0,34.2,0.5,,241.0,6.4,,1004.7,
2018-08-25,30.3,27.6,34.0,0.0,,253.0,3.1,,1003.5,
2018-08-26,28.2,26.0,30.2,0.0,,266.0,2.9,,1002.9,
2018-08-27,28.3,26.0,34.0,3.3,,283.0,3.4,,1003.8,
2018-08-28,30.4,25.6,35.0,1.0,,243.0,4.0,,1004.2,
2018-08-29,30.6,26.9,35.0,0.0,,255.0,5.4,,1002.8,
2018-08-30,31.3,27.8,36.0,0.0,,224.0,10.3,,1003.0,
2018-08-31,31.7,28.0,38.0,0.0,,227.0,7.9,,1006.7,
2018-09-01,30.4,27.0,36.0,,,279.0,5.8,,1008.1,
2018-09-02,29.3,26.0,36.0,,,157.0,6.5,,1006.4,
2018-09-03,29.3,24.0,35.0,,,213.0,7.8,,1005.9,
2018-09-04,30.2,25.6,34.7,,,257.0,8.8,,1007.0,
2018-09-05,30.5,26.2,35.0,,,190.0,6.7,,1006.5,
2018-09-06,30.9,27.0,35.0,,,154.0,6.7,,1005.4,
2018-09-07,30.4,26.0,35.1,,,180.0,7.7,,1005.7,
2018-09-08,29.4,26.0,33.7,,,331.0,8.5,,1007.4,
2018-09-09,28.9,25.6,33.0,,,339.0,7.9,,1010.2,
2018-09-10,28.5,26.0,32.5,0.0,,325.0,9.4,,1011.3,
2018-09-11,28.3,26.0,32.5,0.0,,271.0,9.0,,1009.8,
2018-09-12,28.6,25.0,32.2,,,353.0,9.6,,1007.5,
2018-09-13,28.0,25.0,32.2,46.0,,312.0,6.7,,1006.9,
2018-09-14,28.0,25.0,32.7,10.9,,337.0,8.4,,1007.5,
2018-09-15,29.5,25.0,32.2,42.4,,322.0,9.5,,1006.2,
2018-09-16,29.9,25.0,35.0,0.0,,262.0,7.9,,963.9,
2018-09-17,28.5,25.7,37.0,,,196.0,7.1,,1003.1,
2018-09-18,28.6,25.0,33.0,,,167.0,6.2,,1007.9,
2018-09-19,28.7,27.0,32.0,5.1,,74.0,5.5,,1010.5,
2018-09-20,27.9,25.0,31.0,2.5,,343.0,7.1,,1010.7,
2018-09-21,28.0,25.0,31.0,10.7,,349.0,6.2,,1011.3,
2018-09-22,28.1,25.0,31.3,0.0,,327.0,6.0,,1012.7,
2018-09-23,28.3,25.0,31.6,2.5,,340.0,5.5,,1012.7,
2018-09-24,29.3,25.0,34.0,0.0,,228.0,4.7,,1010.7,
2018-09-25,29.6,25.0,33.0,,,140.0,5.5,,1008.8,
2018-09-26,30.5,25.5,35.0,,,151.0,6.1,,1008.3,
2018-09-27,29.7,26.0,34.0,,,163.0,6.7,,1008.3,
2018-09-28,29.5,25.7,34.0,0.0,,137.0,6.4,,1009.1,
2018-09-29,28.2,26.0,32.0,,,342.0,10.3,,1009.4,
2018-09-30,27.2,25.3,31.3,2.5,,308.0,6.0,,1010.3,
2018-10-01,25.9,25.0,28.1,1.0,,322.0,3.6,,1011.9,
2018-10-02,27.2,25.0,31.0,13.2,,356.0,7.9,,1012.5,
2018-10-03,26.0,24.8,28.0,9.4,,47.0,9.6,,1013.0,
2018-10-04,27.1,24.0,30.0,33.8,,45.0,9.1,,1013.5,
2018-10-05,26.3,22.0,31.0,0.0,,182.0,3.1,,1013.7,
2018-10-06,27.2,22.5,31.6,0.0,,292.0,5.1,,1013.4,
2018-10-07,27.4,23.0,31.0,0.0,,,4.3,,1013.4,
2018-10-08,27.2,23.0,31.0,,,69.0,4.1,,1013.1,
2018-10-09,27.8,23.4,32.0,,,,4.3,,974.5,
2018-10-10,27.3,24.5,30.5,5.8,,359.0,4.7,,1013.1,
2018-10-11,26.2,24.0,29.2,38.1,,321.0,5.1,,1014.7,
2018-10-12,26.4,25.0,30.0,9.4,,47.0,8.5,,1015.2,
2018-10-13,25.4,24.0,28.2,52.1,,358.0,5.0,,1014.5,
2018-10-14,27.4,24.0,31.0,20.3,,144.0,4.7,,1013.4,
2018-10-15,28.0,24.0,32.0,0.0,,152.0,5.4,,1012.8,
2018-10-16,28.3,24.0,33.0,,,173.0,6.0,,1012.0,
