time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,22.6,20.5,28.0,0.0,,151.0,20.3,,1005.9,
2018-01-02,23.1,20.4,28.4,0.0,,142.0,20.4,,1005.6,
2018-01-03,20.3,19.7,23.5,3.0,,179.0,29.7,,1010.8,
2018-01-04,20.3,17.1,24.2,1.4,,147.0,14.4,,1016.2,
2018-01-05,23.7,17.1,27.6,1.0,,23.0,17.6,,1016.1,
2018-01-06,26.4,20.5,30.5,0.0,,42.0,21.9,,1014.8,
2018-01-07,28.4,22.4,43.4,0.0,,18.0,21.1,,1011.4,
2018-01-08,26.5,21.6,36.0,0.0,,59.0,19.8,,1012.9,
2018-01-09,23.7,21.5,32.5,10.4,,26.0,24.1,,1013.1,
2018-01-10,21.3,18.8,23.5,10.4,,161.0,24.8,,1018.2,
2018-01-11,23.1,18.9,25.0,0.0,,59.0,13.7,,1017.5,
2018-01-12,25.6,21.1,29.6,0.0,,25.0,22.1,,1010.4,
2018-01-13,22.9,22.4,35.4,0.0,,225.0,23.5,,1001.5,
2018-01-14,19.1,14.6,22.1,0.8,,211.0,40.2,,1008.1,
2018-01-15,20.5,16.1,23.1,0.0,,193.0,38.4,,1014.5,
2018-01-16,19.5,17.9,21.2,0.0,,194.0,42.5,,1018.7,
2018-01-17,19.1,16.8,22.6,0.0,,194.0,28.2,,1018.9,
2018-01-18,22.6,15.1,28.1,0.0,,354.0,15.8,,1018.2,
2018-01-19,24.5,17.4,31.7,0.0,,21.0,15.4,,1015.2,
2018-01-20,25.5,18.2,34.3,0.0,,18.0,18.1,,1014.3,
2018-01-21,25.4,19.6,30.3,0.0,,14.0,23.4,,1012.3,
2018-01-22,26.6,21.2,34.2,0.0,,30.0,21.2,,1009.0,
2018-01-23,24.5,22.0,28.9,0.0,,37.0,18.5,,1010.4,
2018-01-24,26.0,20.7,31.0,0.0,,65.0,21.7,,1010.7,
2018-01-25,25.3,22.1,28.6,0.0,,48.0,20.9,,1011.2,
2018-01-26,25.5,23.1,28.4,0.0,,49.0,19.6,,1011.5,
2018-01-27,26.2,23.3,30.1,0.0,,58.0,25.1,,1012.3,
2018-01-28,25.4,23.5,28.9,0.0,,56.0,27.3,,1013.5,
2018-01-29,25.8,22.5,30.5,0.0,,51.0,22.4,,1012.3,
2018-01-30,23.6,21.3,31.7,0.0,,22.0,23.7,,1006.0,
2018-01-31,19.3,17.6,21.5,0.6,,187.0,38.9,,1008.5,
2018-02-01,18.4,16.6,21.8,0.0,,188.0,30.5,,1014.6,
2018-02-02,19.8,15.2,22.5,6.8,,195.0,20.5,,1017.0,
2018-02-03,20.3,16.1,24.2,18.8,,177.0,24.7,,1020.0,
2018-02-04,20.6,16.9,25.5,5.4,,160.0,20.2,,1022.2,
2018-02-05,22.5,16.7,26.4,0.0,,78.0,16.3,,1019.9,
2018-02-06,23.8,19.1,27.6,0.0,,56.0,16.7,,1020.0,
2018-02-07,24.0,20.9,28.8,0.0,,41.0,19.0,,1020.5,
2018-02-08,25.4,20.0,30.2,0.0,,9.0,25.0,,1017.3,
2018-02-09,23.6,21.0,27.8,0.0,,123.0,17.9,,1013.2,
2018-02-10,24.9,21.3,29.3,0.6,,132.0,17.9,,1009.4,
2018-02-11,23.1,21.8,27.8,1.8,,166.0,22.9,,1005.4,
2018-02-12,24.9,20.8,28.7,0.0,,74.0,17.9,,1008.1,
2018-02-13,25.1,22.0,28.5,0.0,,95.0,21.3,,1011.0,
2018-02-14,27.6,22.6,39.7,0.0,,358.0,20.3,,1007.8,
2018-02-15,24.5,20.7,29.4,0.0,,89.0,23.4,,1012.7,
2018-02-16,23.3,19.6,28.4,0.0,,192.0,20.0,,1010.7,
2018-02-17,25.4,21.1,28.9,0.0,,65.0,23.7,,1013.7,
2018-02-18,26.0,22.3,29.8,0.0,,28.0,22.7,,1011.5,
2018-02-19,22.6,22.4,28.5,0.0,,123.0,21.2,,1012.2,
2018-02-20,20.2,19.7,22.8,10.2,,156.0,34.8,,1017.9,
2018-02-21,21.5,17.6,25.3,0.0,,142.0,15.2,,1018.4,
2018-02-22,23.7,18.9,27.6,0.0,,343.0,15.0,,1016.7,
2018-02-23,25.0,18.9,29.5,0.0,,18.0,25.9,,1014.9,
2018-02-24,26.6,20.9,33.0,0.0,,25.0,23.2,,1007.9,
2018-02-25,18.7,20.6,21.5,0.0,,172.0,29.8,,1006.8,
2018-02-26,19.7,16.7,21.9,46.0,,162.0,33.4,,1013.2,
2018-02-27,20.5,17.1,24.5,2.2,,167.0,20.1,,1017.3,
2018-02-28,24.7,16.7,30.2,0.4,,14.0,18.8,,1010.9,
2018-03-01,21.4,20.7,25.0,0.0,,179.0,27.5,,1011.0,
2018-03-02,22.1,18.3,24.7,0.0,,185.0,20.5,,1013.6,
2018-03-03,24.8,20.0,29.2,0.0,,7.0,18.2,,1010.2,
2018-03-04,21.9,21.7,23.6,0.0,,205.0,25.7,,1011.1,
2018-03-05,20.6,20.4,23.2,0.0,,181.0,23.6,,1015.1,
2018-03-06,20.9,18.3,23.2,5.0,,171.0,34.8,,1022.1,
2018-03-07,21.4,18.4,25.3,3.4,,123.0,22.7,,1025.8,
2018-03-08,21.7,18.0,25.1,0.8,,131.0,18.8,,1025.3,
2018-03-09,21.9,19.4,25.4,0.0,,162.0,19.7,,1026.2,
2018-03-10,21.6,18.2,25.8,1.6,,114.0,15.8,,1026.2,
2018-03-11,22.7,18.1,28.6,0.0,,342.0,15.8,,1021.6,
2018-03-12,22.1,17.5,27.0,0.0,,218.0,14.3,,1017.6,
2018-03-13,20.1,18.8,22.3,56.6,,151.0,20.5,,1019.7,
2018-03-14,23.9,18.1,27.9,5.0,,352.0,17.9,,1017.9,
2018-03-15,25.3,20.2,34.5,0.0,,5.0,19.1,,1012.2,
2018-03-16,23.2,20.6,25.8,0.2,,139.0,18.2,,1016.5,
2018-03-17,25.7,20.9,31.8,0.0,,4.0,13.4,,1014.6,
2018-03-18,29.5,20.4,40.2,0.0,,335.0,20.2,,1011.0,
2018-03-19,24.5,20.7,31.1,0.0,,92.0,19.0,,1014.6,
2018-03-20,22.0,19.8,26.0,0.0,,187.0,29.5,,1019.9,
2018-03-21,19.5,17.7,21.6,23.0,,146.0,40.4,,1026.9,
2018-03-22,20.6,17.6,23.3,8.0,,125.0,32.1,,1026.5,
2018-03-23,20.9,16.9,24.5,3.0,,74.0,20.4,,1023.5,
2018-03-24,22.9,17.1,27.0,0.0,,357.0,14.7,,1017.8,
2018-03-25,25.0,19.6,33.5,0.0,,327.0,19.2,,1008.2,
2018-03-26,19.7,18.7,27.5,2.2,,291.0,24.3,,1007.3,
2018-03-27,20.9,13.7,23.8,0.0,,251.0,15.0,,1017.1,
2018-03-28,23.3,16.6,28.1,0.0,,5.0,15.6,,1016.5,
2018-03-29,24.0,19.1,29.2,0.0,,357.0,15.4,,1015.6,
2018-03-30,23.1,20.0,29.3,0.0,,245.0,18.3,,1013.6,
2018-03-31,21.7,20.0,25.0,0.0,,152.0,18.4,,1018.4,
2018-04-01,24.4,18.8,30.3,0.0,,14.0,16.9,,1014.8,
2018-04-02,23.3,20.0,32.3,0.0,,88.0,16.0,,1014.4,
2018-04-03,21.9,19.9,24.1,3.6,,138.0,20.0,,1021.0,
2018-04-04,21.9,20.2,25.1,0.0,,151.0,14.7,,1020.0,
