time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,7.0,0.2,12.8,0.0,,330.0,9.5,,1012.6,
2018-01-02,5.7,0.6,10.6,0.0,,311.0,11.8,,1014.4,
2018-01-03,4.1,2.7,8.4,0.0,,319.0,18.7,,1013.0,
2018-01-04,4.7,-0.2,9.4,0.0,,333.0,10.1,,1018.0,
2018-01-05,2.7,1.5,6.1,0.0,,14.0,6.7,,1015.6,
2018-01-06,5.5,-1.6,10.3,0.0,,294.0,7.3,,1011.3,
2018-01-07,6.3,1.0,11.4,0.0,,320.0,9.5,,1019.4,
2018-01-08,5.6,3.0,9.3,0.0,,321.0,7.1,,1015.7,
2018-01-09,8.2,3.4,15.8,9.4,,246.0,9.7,,996.2,
2018-01-10,6.9,3.6,10.9,0.0,,212.0,16.9,,1006.8,
2018-01-11,3.9,1.6,10.0,0.0,,319.0,9.2,,1011.6,
2018-01-12,2.4,-1.8,6.8,0.0,,336.0,7.3,,1019.2,
2018-01-13,3.2,-1.0,7.1,0.0,,346.0,7.8,,1022.3,
2018-01-14,3.4,0.8,8.2,0.0,,341.0,11.5,,1028.1,
2018-01-15,4.7,-1.3,12.2,0.0,,329.0,7.2,,1023.8,
2018-01-16,8.0,1.2,13.5,0.0,,353.0,5.4,,1019.6,
2018-01-17,6.3,4.2,8.9,0.0,,342.0,7.5,,1013.3,
2018-01-18,8.9,2.8,13.5,15.0,,205.0,7.3,,1012.6,
2018-01-19,7.7,6.4,11.0,0.0,,20.0,9.6,,1018.4,
2018-01-20,5.6,4.6,9.9,0.0,,20.0,5.7,,1017.6,
2018-01-21,6.7,2.1,11.8,0.0,,352.0,7.9,,1016.3,
2018-01-22,0.2,-0.7,4.8,0.0,,347.0,11.1,,1016.7,
2018-01-23,4.8,-0.9,9.8,23.9,201.0,,,,,
2018-01-24,0.9,,7.1,0.0,89.0,,,,,
2018-01-25,-0.0,-4.2,3.8,0.0,71.0,313.0,9.9,,1010.2,
2018-01-26,0.8,-3.3,4.9,0.0,71.0,325.0,12.5,,1007.5,
2018-01-27,2.7,-2.0,7.1,0.0,61.0,311.0,15.7,,1014.9,
2018-01-28,1.0,-0.8,5.3,0.0,41.0,351.0,7.1,,1016.1,
2018-01-29,4.3,-2.1,9.5,0.0,30.0,18.0,7.7,,1006.9,
2018-01-30,2.6,0.9,6.4,0.0,,343.0,8.6,,1014.9,
2018-01-31,4.7,-1.2,9.0,0.0,,346.0,6.8,,1021.4,
2018-02-01,2.1,0.6,6.1,0.0,,351.0,8.9,,1024.7,
2018-02-02,2.2,0.3,3.6,13.5,10.0,340.0,8.4,,1024.7,
2018-02-03,4.7,1.4,7.6,1.5,,345.0,6.8,,1016.1,
2018-02-04,4.7,2.3,9.6,0.0,,332.0,8.0,,1009.6,
2018-02-05,3.3,0.9,7.9,0.0,,306.0,11.6,,1010.3,
2018-02-06,3.0,-1.4,8.0,0.0,,343.0,7.9,,1010.9,
2018-02-07,3.6,-2.0,8.9,0.0,,305.0,7.8,,1013.2,
2018-02-08,3.2,-0.1,9.0,0.0,,322.0,7.5,,1019.4,
2018-02-09,4.6,-1.6,9.3,0.0,,67.0,6.7,,1024.9,
2018-02-10,8.2,0.1,11.7,0.0,,252.0,10.1,,1018.9,
2018-02-11,6.9,4.4,14.7,1.5,,327.0,8.6,,1004.3,
2018-02-12,3.6,-0.9,9.5,0.0,,258.0,12.8,,1009.7,
2018-02-13,4.0,-1.4,9.5,0.0,,313.0,6.3,,1013.5,
2018-02-14,7.9,-0.4,10.8,0.0,,231.0,10.7,,1017.3,
2018-02-15,8.4,6.3,14.9,0.0,,108.0,9.2,,1011.2,
2018-02-16,6.4,3.2,9.8,0.0,,44.0,11.6,,1014.4,
2018-02-17,4.0,0.8,12.1,0.0,,342.0,11.1,,1006.4,
